Country,Trial_Count
United States of America,5487
Japan,4561
Germany,2955
France,1379
Canada,988
Spain,898
Poland,797
Russia,610
United Kingdom,608
Czechia,418
Italy,397
South Korea,384
Belgium,383
Ukraine,373
Greece,332
Hungary,327
Mexico,271
Bulgaria,261
Australia,226
Netherlands,224
Israel,216
Romania,203
China,197
Argentina,197
Austria,195
Denmark,154
Brazil,141
South Africa,135
Slovakia,132
Taiwan,116
Sweden,101
Portugal,94
Chile,85
Estonia,82
Serbia,82
Colombia,80
Norway,74
Puerto Rico,69
Turkey (Türkiye),69
New Zealand,64
Peru,64
Switzerland,63
Croatia,56
Lithuania,51
Latvia,48
Finland,43
Malaysia,43
Ireland,43
India,39
Georgia,30
Slovenia,25
Thailand,23
Bosnia and Herzegovina,18
Hong Kong,17
Philippines,16
Iran,11
Belarus,11
Egypt,11
Lebanon,10
Monaco,5
Iceland,4
Kazakhstan,4
Ecuador,3
Costa Rica,3
United Arab Emirates,2
Singapore,2
Moldova,2
Jordan,2
Qatar,2
Bangladesh,1
Martinique,1
Kuwait,1
Iraq,1
Guadeloupe,1
Dominican Republic,1
Mozambique,1
Saudi Arabia,1
Zambia,1
