KOL_Name,Publication_Count
Richard B Warren,10
Lone Skov,9
Neeraj Narula,8
Vipul Jairath,7
Mohammad Shehab,6
Paolo Gisondi,6
Catherine H Smith,6
Nikolai Loft,6
Gabriele Simonini,6
Zenas Z N Yiu,6
Christopher Willy Schwarz,5
Joseph F Merola,5
Matteo Megna,5
Christopher E M Griffiths,5
Pierre Quartier,4
Yan Li,4
Manuel Barreiro-de Acosta,4
Mark Lunt,4
Mads Kirchheiner Rasmussen,4
Elena Urbieta-Sanz,4
Luca Potestio,4
Dror S Shouval,4
Fatema Alrashed,4
Luca Scarallo,4
Yael Weintraub,4
Carles Iniesta-Navalón,4
Akiko Ishii-Watabe,4
Eduardo Mysler,4
Sasha Bernatsky,4
Athimalaipet V Ramanan,4
Stefan Daniluk,4
Waqqas Afif,4
Trine Bertelsen,4
Emilie Sbidian,4
John K Marshall,4
Iago Rodríguez-Lago,4
Walter Reinisch,4
Manar Matar,4
Nick J Reynolds,3
Wen-Chan Tsai,3
Isabelle Koné-Paut,3
EunJin Choi,3
JungBin Cha,3
HyunJin Lee,3
Zhenyu Zhong,3
Yoo-Ri Chung,3
Richard K Russell,3
Christopher J Sayed,3
David Saadoun,3
Duc Binh Phan,3
